company_name,position_name,salary,city,work_years,education,advantage,desc,mark
万域城,HTML5,4k-9k,北京,1年以内,本科,五险一金,https://www.zhipin.com/job_detail/f43f9a634975025f1HV539-9E1U~.html,3
球信科技,HTML5,6k-7k,廊坊,3-5年,大专,,https://www.zhipin.com/job_detail/76d0f5329b543aec1HR63tW1E1o~.html,3
亚洲奥德赛旅游,HTML5,8k-10k,成都,5-10年,大专,"年终奖,带薪年假,定期体检,员工旅游,五险一金",https://www.zhipin.com/job_detail/19077e5033141f691XF62d-4FFQ~.html,3
乐聚互娱,HTML5,10k-15k,北京,1-3年,本科,"年终分红,扁平管理,领导nice",https://www.zhipin.com/job_detail/80e405de9a004f931nJ_29u_FlE~.html,3
指航基金,HTML5,10k-20k,北京,1年以内,本科,,https://www.zhipin.com/job_detail/440ef359619bcdb31X1y2NW7F1M~.html,3
兰眼网络,HTML5,3k-5k,哈尔滨,1-3年,大专,"节日福利,年终奖,餐补,五险一金,员工旅游,带薪年假,全勤奖,加班补助",https://www.zhipin.com/job_detail/9eaf6a07d616719a1nN63dS0EVM~.html,3
功城狮,HTML5,6k-12k,南京,1-3年,学历不限,"节日福利,年终奖,餐补,补充医疗保险,五险一金,员工旅游,零食下午茶,定期体检,交通补助,全勤奖,加班补助",https://www.zhipin.com/job_detail/5d367e215a0dda621XN82N6-EVs~.html,3
迅维智能科技,HTML5,10k-13k,杭州,3-5年,本科,"员工旅游,年终奖,股票期权,五险",https://www.zhipin.com/job_detail/681d283a509a898b1ndy092_FFM~.html,3
华秉科技,HTML5,10k-20k,北京,3-5年,本科,"节日福利,年终奖,五险一金,零食下午茶,定期体检,股票期权,加班补助",https://www.zhipin.com/job_detail/9d230d37e7ae0fdb1HZ739-9.html,3
粒电科技,HTML5,12k-20k,北京,3-5年,大专,"节日福利,年终奖,餐补,带薪年假,零食下午茶,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/5dc4a869d9ed28ba1XV92d6-GVA~.html,3
远昊信息,HTML5外派岗位,10k-12k,上海,1-3年,本科,"股票期权,年终奖,五险一金",https://www.zhipin.com/job_detail/bfaabf41813c9ea41HV-2t67E1c~.html,3
上海九物,HTML5,12k-18k,上海,1-3年,本科,,https://www.zhipin.com/job_detail/916f6f7e7f4a20141HV62NS7EVE~.html,3
上海特临,HTML5,10k-20k,上海,3-5年,本科,"地铁周边,移动互联网,带薪年假,美女如云,扁平管理,股票期权,不打卡,领导nice",https://www.zhipin.com/job_detail/20c8f239b9d5c7e51n142N-4E1U~.html,3
池地传媒,HTML5,6k-9k,长沙,经验不限,大专,"移动互联网,公司氛围好,带薪年假",https://www.zhipin.com/job_detail/d46948680d0527db1XZ839y4GFY~.html,3
真甜农业,HTML5,4k-7k,广州,应届生,本科,,https://www.zhipin.com/job_detail/2b62d5db8ea72db51Hd52ti7FlE~.html,3
真甜农业,html5,4k-7k,广州,应届生,本科,,https://www.zhipin.com/job_detail/72f8d55b24607df51HZ-29-8FlM~.html,3
万码先锋,HTML5,4k-6k,武汉,1-3年,本科,,https://www.zhipin.com/job_detail/73dbc950d97fb8e21XB629m-ElE~.html,3
奇客里,HTML5,4k-6k,西安,1-3年,大专,"公司氛围好,扁平管理,年终分红,游戏化思维,领导nice",https://www.zhipin.com/job_detail/9632a7e9fc770f261HZ439u5FlU~.html,3
吾声,HTML5,10k-20k,上海,1-3年,学历不限,"公司氛围好,年度旅游,带薪年假,弹性时间,扁平管理,年终分红,地铁周边,领导nice",https://www.zhipin.com/job_detail/7baeac51a1f74b7e1XR83d--EVE~.html,3
